Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
167,Georgia Tech,ACC,15-18,0.16,104.3,104.1,66.7,-0.003,4.41,108.7,104.3,-2.95
168,Notre Dame,ACC,11-21,0.00,108.8,108.8,64.9,-0.066,3.19,107.6,104.4,-3.77
169,Eastern Kentucky,ASun,20-13,-0.05,103.4,103.4,70.2,0.072,-1.14,105.1,106.2,2.78
170,Texas A&M Corpus Chris 16,Slnd,23-10,-0.23,107.4,107.6,69.3,0.019,-9.07,101.2,110.2,1.44
171,Longwood,BSth,20-12,-0.26,104.3,104.5,66.0,-0.032,-7.29,101.9,109.2,-8.01
172,Boston College,ACC,16-17,-0.45,102.6,103.0,66.6,0.090,3.85,108.1,104.2,-4.37
173,Louisiana Tech,CUSA,15-18,-0.48,105.4,105.9,66.6,-0.028,2.40,106.1,103.7,0.74
174,Old Dominion,SB,19-12,-0.61,103.2,103.8,65.0,0.099,-0.59,104.3,104.9,-1.54
175,Grambling St.,SWAC,24-9,-0.65,100.1,100.8,66.3,0.090,-8.77,98.9,107.7,4.02
176,East Carolina,Amer,16-17,-0.72,103.4,104.1,67.5,0.036,0.85,105.6,104.8,-8.54
177,Appalachian St.,SB,16-16,-0.73,101.4,102.2,65.0,-0.035,-0.65,104.7,105.4,-0.72
178,Pepperdine,WCC,9-22,-0.75,105.4,106.2,72.2,-0.140,5.44,109.8,104.3,3.39
179,Cleveland St.,Horz,21-13,-0.78,104.4,105.1,66.0,0.029,-4.99,103.3,108.3,0.37
180,SMU,Amer,10-22,-0.87,103.3,104.2,69.6,-0.048,6.34,108.0,101.7,4.17
181,Pacific,WCC,15-18,-0.88,108.3,109.2,69.6,0.043,2.18,107.6,105.4,-3.27
182,Radford,BSth,19-14,-0.93,104.4,105.4,64.6,-0.038,-4.44,103.6,108.1,0.92
183,Navy,Pat,18-13,-0.98,103.7,104.7,64.5,-0.038,-6.99,101.6,108.6,-1.51
184,Brown,Ivy,14-13,-0.98,100.8,101.8,69.3,0.005,-2.24,104.1,106.3,-4.34
185,Chattanooga,SC,18-17,-1.03,108.2,109.2,68.5,-0.065,-2.58,105.0,107.6,1.10
